code,country,year,Perceived_opportunities,Perceived_capabilities,Fear_of_failure_rate,Entrepreneurial_intentions,Total_early_stage_Entrepreneurial_Activity,Established_Business_Ownership,Entrepreneurial_Employee_Activity,Female_Male_TEA,High_Job_Creation_Expectation,Business_Services_Sector,High_Status_to_Successful_Entrepreneurs,Entrepreneurship_as_a_Good_Career_Choice
47,Norway,2019,69.49,31.52,30.24,5.74,8.36,5.61,2.64,0.44,22.6,33.36,93.49,66.74
968,Oman,2019,72.31,56.32,40.78,62.91,6.94,2.0,1.17,0.72,23.97,8.77,85.67,85.34
92,Pakistan,2019,62.3,63.02,54.16,27.9,3.65,4.72,0.51,0.3,12.48,2.52,87.71,80.15
507,Panama,2019,53.37,72.9,40.77,40.77,22.68,4.66,0.39,0.74,26.16,9.8,74.61,69.97
48,Poland,2019,87.28,50.41,45.86,6.0,5.39,12.76,1.68,0.9,26.68,21.35,76.95,77.65
351,Portugal,2019,53.52,61.43,52.59,19.78,12.89,10.96,4.13,0.62,17.33,24.79,71.65,72.74
787,Puerto Rico,2019,39.43,55.7,33.19,23.93,13.39,1.25,2.1,0.74,25.52,10.51,55.15,30.7
974,Qatar,2019,75.59,75.47,45.17,45.25,14.69,2.96,3.6,1.0,58.28,22.75,87.09,82.1
7,Russia,2019,29.6,35.62,45.16,9.84,9.33,5.09,0.55,0.85,35.8,9.1,73.69,70.77
966,Saudi Arabia,2019,73.8,83.0,41.78,32.32,13.96,5.35,3.19,1.09,61.9,8.77,79.32,69.68
421,Slovakia,2019,36.04,53.05,43.71,13.62,13.33,5.88,3.1,0.63,26.22,25.2,58.43,42.35
386,Slovenia,2019,47.59,57.46,42.23,14.98,7.8,8.45,7.0,0.56,19.94,33.6,84.04,63.45
27,South Africa,2019,60.41,60.35,49.79,11.9,10.77,3.51,0.37,0.89,30.61,8.97,82.16,78.84
82,South Korea,2019,42.89,51.7,7.14,25.65,14.94,13.03,1.35,0.62,21.69,17.03,85.97,54.33
34,Spain,2019,36.13,50.82,48.21,7.41,6.15,6.31,1.73,0.94,8.98,33.51,57.85,57.33
46,Sweden,2019,79.79,50.69,42.92,10.93,8.25,4.88,5.24,0.55,14.9,19.39,78.72,62.66
41,Switzerland,2019,40.66,49.15,23.87,10.74,9.77,11.6,5.35,0.59,28.33,28.11,76.18,40.23
886,Taiwan,2019,41.16,41.97,31.03,14.37,8.38,12.75,2.3,0.67,30.41,19.04,61.06,50.5
971,United Arab Emirates,2019,66.1,62.16,41.73,38.5,16.41,6.96,8.24,0.7,65.98,23.82,79.02,70.34
44,United Kingdom,2019,43.84,55.18,44.49,7.62,9.34,8.18,8.08,0.6,28.38,32.83,76.67,56.38
1,United States,2019,67.24,65.51,35.1,13.68,17.42,10.59,6.47,0.91,32.5,30.13,79.66,67.87
